time_stamp,humidity,temperature,pm2.5_alt|3.4,pm2.5_atm
2024-01-01T00:00:00Z,35,55,10.7,17.7
2024-01-01T06:00:00Z,41,53,14.8,24.7
2024-01-01T12:00:00Z,46,55,14.1,22.3
2024-01-01T18:00:00Z,37,57,12.8,19.7
2024-01-02T00:00:00Z,41,49,6.6,10.8
2024-01-02T06:00:00Z,43,42,3.1,5
2024-01-02T12:00:00Z,38,46,7.3,11.8
2024-01-02T18:00:00Z,30,54,9.7,15.8
2024-01-03T00:00:00Z,34,51,8.7,14.2
2024-01-03T06:00:00Z,42,47,6.1,10.7
2024-01-03T12:00:00Z,38,51,9.9,17.1
2024-01-03T18:00:00Z,35,55,11.2,18.1
2024-01-04T00:00:00Z,37,52,10.9,17.9
2024-01-04T06:00:00Z,37,52,15.3,25.7
2024-01-04T12:00:00Z,40,53,16,26.1
2024-01-04T18:00:00Z,31,51,3,4.2
2024-01-05T00:00:00Z,31,41,2,2.8
2024-01-05T06:00:00Z,36,37,1.3,1.4
2024-01-05T12:00:00Z,33,44,5.3,9.5
2024-01-05T18:00:00Z,29,49,8.4,14.8
2024-01-06T00:00:00Z,32,47,11.9,21.4
2024-01-06T06:00:00Z,36,46,17.4,32.4
2024-01-06T12:00:00Z,39,46,17.6,31.7
2024-01-06T18:00:00Z,53,46,17.5,31.7
2024-01-07T00:00:00Z,64,45,8.3,14.9
2024-01-07T06:00:00Z,64,46,2.1,3
2024-01-07T12:00:00Z,61,48,3.2,5
2024-01-07T18:00:00Z,54,49,5.1,8.3
2024-01-08T00:00:00Z,46,48,5.7,9.7
2024-01-08T06:00:00Z,42,47,5,8.3
2024-01-08T12:00:00Z,36,53,5.5,8.9
2024-01-08T18:00:00Z,31,56,6.9,10.8
2024-01-09T00:00:00Z,35,53,8.3,13.9
2024-01-09T06:00:00Z,40,51,9.3,16.1
2024-01-09T12:00:00Z,45,54,8.1,13.1
2024-01-09T18:00:00Z,59,57,5.5,8.1
2024-01-10T00:00:00Z,67,62,5.3,7.3
2024-01-10T06:00:00Z,60,64,2,2.2
2024-01-10T12:00:00Z,38,59,2.4,3
2024-01-10T18:00:00Z,34,59,3.1,4.1
2024-01-11T00:00:00Z,36,56,2.5,3.3
2024-01-11T06:00:00Z,36,53,1.7,2
2024-01-11T12:00:00Z,34,55,6.5,10.1
2024-01-11T18:00:00Z,31,59,9.3,14.4
2024-01-12T00:00:00Z,35,58,7.8,11.7
2024-01-12T06:00:00Z,39,55,6.4,10.1
2024-01-12T12:00:00Z,34,58,10.6,16.7
2024-01-12T18:00:00Z,38,58,8.6,13.3
2024-01-13T00:00:00Z,51,58,7.3,11
2024-01-13T06:00:00Z,65,62,2.5,3.1
