time_stamp,humidity,temperature,pm2.5_alt|3.4,pm2.5_atm
2024-12-30T00:00:00Z,50,67,4,7
2024-12-30T06:00:00Z,62,63,4.1,6.7
2024-12-30T12:00:00Z,47,64,5.3,7.7
2024-12-30T18:00:00Z,29,62,4.3,6.1
2024-12-31T00:00:00Z,33,59,4.9,7.3
2024-12-31T06:00:00Z,37,55,4.2,6.1
2024-12-31T12:00:00Z,35,56,12.6,20.7
2024-12-31T18:00:00Z,43,59,16.9,26.4
2025-01-01T00:00:00Z,57,56,10.8,18
2025-01-01T06:00:00Z,57,57,18.4,29.2
2025-01-01T12:00:00Z,52,57,14.1,22.3
2025-01-01T18:00:00Z,40,54,4.2,6.6
2025-01-02T00:00:00Z,33,50,2,2.6
2025-01-02T06:00:00Z,36,47,1.6,1.9
2025-01-02T12:00:00Z,30,48,3.5,5.5
2025-01-02T18:00:00Z,25,48,5.9,10.3
2025-01-03T00:00:00Z,30,44,5.2,9.3
2025-01-03T06:00:00Z,29,44,3.3,5.2
2025-01-03T12:00:00Z,29,44,7.2,13.3
2025-01-03T18:00:00Z,29,46,10.7,20.4
2025-01-04T00:00:00Z,36,42,11.6,23.3
2025-01-04T06:00:00Z,29,40,1.2,1.2
2025-01-04T12:00:00Z,24,40,1.6,2.2
2025-01-04T18:00:00Z,21,40,2.8,5.1
2025-01-05T00:00:00Z,23,39,2.6,4.7
2025-01-05T06:00:00Z,27,39,1.4,1.7
2025-01-05T12:00:00Z,28,39,5.5,11
2025-01-05T18:00:00Z,26,40,5.6,11.3
2025-01-06T00:00:00Z,29,39,3.4,6.4
2025-01-06T06:00:00Z,32,40,3.8,7.1
2025-01-06T12:00:00Z,40,40,9.2,18.9
2025-01-06T18:00:00Z,48,39,8.8,18
2025-01-07T00:00:00Z,41,33,4.8,10.5
2025-01-07T06:00:00Z,35,30,2,3.6
2025-01-07T12:00:00Z,31,33,2.4,4.5
2025-01-07T18:00:00Z,29,38,2,3.2
2025-01-08T00:00:00Z,31,35,2.1,3.4
2025-01-08T06:00:00Z,29,34,0.8,0.6
2025-01-08T12:00:00Z,26,35,2.6,4.8
2025-01-08T18:00:00Z,24,35,2.5,4.4
2025-01-09T00:00:00Z,28,31,1.5,2.2
2025-01-09T06:00:00Z,30,31,1.5,2.4
2025-01-09T12:00:00Z,30,34,2.3,3.9
2025-01-09T18:00:00Z,32,38,2.2,3.5
2025-01-10T00:00:00Z,37,36,3.2,5.6
2025-01-10T06:00:00Z,36,36,3.3,5.8
2025-01-10T12:00:00Z,31,40,3.3,5.9
2025-01-10T18:00:00Z,25,46,4.1,7.1
2025-01-11T00:00:00Z,27,46,4.9,8.9
2025-01-11T06:00:00Z,38,42,7.2,14.8
